birdId,birdName,scientificName
598,Swynnerton's Robin,Swynnertonia swynnertoni
599,Chorister Robin-Chat,Cossypha dichroa
600,Red-capped Robin-Chat,Cossypha natalensis
601,White-browed Robin-Chat,Cossypha heuglini
602,Cape Robin-Chat,Dessonornis caffer
603,White-throated Robin-Chat,Dessonornis humeralis
604,Angolan Cave Chat,Xenocopsychus ansorgei
605,White-browed Scrub Robin,Cercotrichas leucophrys
606,Kalahari Scrub Robin,Cercotrichas paena
607,Rufous-tailed Scrub Robin,Cercotrichas galactotes
608,Karoo Scrub Robin,Tychaedon coryphoeus
609,Brown Scrub Robin,Tychaedon signata
610,Bearded Scrub Robin,Tychaedon quadrivirgata
611,African Stonechat,Saxicola torquatus
612,Whinchat,Saxicola rubetra
613,Buff-streaked Chat,Campicoloides bifasciatus
614,Capped Wheatear,Oenanthe pileata
615,Northern Wheatear,Oenanthe oenanthe
616,Isabelline Wheatear,Oenanthe isabellina
617,Pied Wheatear,Oenanthe pleschanka
618,Mountain Wheatear,Myrmecocichla monticola
619,Arnot's Chat,Myrmecocichla arnotti
620,Ant-eating Chat,Myrmecocichla formicivora
621,Mocking Cliff Chat,Thamnolaea cinnamomeiventris
622,Boulder Chat,Pinarornis plumosus
623,Herero Chat,Namibornis herero
624,Common Redstart,Phoenicurus phoenicurus
625,Familiar Chat,Oenanthe familiaris
626,Sickle-winged Chat,Emarginata sinuata
